Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Miami/Ft. Lauderdale",Weekly,"2025-02-23 00:00:00",Conventional,1.135484112,1487062.83,851907.17,44377.77,1671.49,589106.40,,,
"Miami/Ft. Lauderdale",Weekly,"2025-02-16 00:00:00",Conventional,1.145554774,1466136.55,853106.76,50471.06,1442.61,561116.11,,,
"Miami/Ft. Lauderdale",Weekly,"2025-02-09 00:00:00",Conventional,1.074684856,1804479.94,1142913.20,61648.09,1620.71,598297.95,,,
"Miami/Ft. Lauderdale",Weekly,"2025-02-02 00:00:00",Conventional,1.252833912,1431508.74,828322.88,55478.86,1583.27,546123.73,,,
Nashville,Weekly,"2025-02-23 00:00:00",Conventional,1.221015385,374578.66,210425.99,31618.00,220.99,132313.68,,,
Nashville,Weekly,"2025-02-16 00:00:00",Conventional,1.116228487,410888.30,271296.72,19301.12,190.68,120099.77,,,
Nashville,Weekly,"2025-02-09 00:00:00",Conventional,1.083844820,478713.83,321018.38,30078.09,133.69,127483.67,,,
Nashville,Weekly,"2025-02-02 00:00:00",Conventional,1.223141865,402746.84,235907.91,30739.65,130.57,135968.71,,,
"Northern New England",Weekly,"2025-02-23 00:00:00",Conventional,1.160173685,462170.03,235913.49,131566.66,89.33,94600.54,,,
"Northern New England",Weekly,"2025-02-16 00:00:00",Conventional,1.072839273,588566.92,333454.57,159552.29,239.51,95320.55,,,
"Northern New England",Weekly,"2025-02-09 00:00:00",Conventional,0.955829160,789536.76,423601.62,265598.04,194.53,100142.58,,,
"Northern New England",Weekly,"2025-02-02 00:00:00",Conventional,1.065242148,527563.89,268036.53,147426.28,184.78,111916.30,,,
"New Orleans/Mobile",Weekly,"2025-02-23 00:00:00",Conventional,1.042229104,293743.21,207187.02,6089.83,804.55,79661.82,,,
"New Orleans/Mobile",Weekly,"2025-02-16 00:00:00",Conventional,1.037488520,293891.62,207615.51,5454.22,1004.36,79817.53,,,
"New Orleans/Mobile",Weekly,"2025-02-09 00:00:00",Conventional,0.989431508,359747.16,259708.56,6673.97,539.09,92825.53,,,
"New Orleans/Mobile",Weekly,"2025-02-02 00:00:00",Conventional,1.036646995,315094.16,202825.36,8410.17,543.80,103314.82,,,
"New York",Weekly,"2025-02-23 00:00:00",Conventional,1.347842859,2383152.26,982443.70,489093.89,22077.53,889537.14,,,
"New York",Weekly,"2025-02-16 00:00:00",Conventional,1.207736329,2869985.85,1264449.13,706786.70,24162.58,874587.44,,,
"New York",Weekly,"2025-02-09 00:00:00",Conventional,1.263253869,3503805.87,1581877.39,888864.99,27893.78,1005169.72,,,
"New York",Weekly,"2025-02-02 00:00:00",Conventional,1.295869361,2479915.54,957811.13,603179.61,19386.87,899537.93,,,
Orlando,Weekly,"2025-02-23 00:00:00",Conventional,1.160608739,848435.42,424236.48,28116.15,130.62,395952.17,,,
Orlando,Weekly,"2025-02-16 00:00:00",Conventional,1.166031777,820642.55,450739.50,16799.87,99.58,353003.60,,,
Orlando,Weekly,"2025-02-09 00:00:00",Conventional,1.079730786,1051173.13,630125.70,26275.26,148.81,394623.37,,,
Orlando,Weekly,"2025-02-02 00:00:00",Conventional,1.238240649,806307.24,444647.91,16705.85,104.89,344848.59,,,
Peoria/Springfield,Weekly,"2025-02-23 00:00:00",Conventional,0.968532407,190266.17,94946.05,12599.15,1282.08,81438.89,,,
Peoria/Springfield,Weekly,"2025-02-16 00:00:00",Conventional,1.012439975,176060.79,105475.05,12379.65,2483.08,55723.01,,,
Peoria/Springfield,Weekly,"2025-02-09 00:00:00",Conventional,0.992463576,234720.45,144775.39,25035.21,3962.48,60947.36,,,
Peoria/Springfield,Weekly,"2025-02-02 00:00:00",Conventional,1.040502436,181135.40,98137.53,16470.63,2455.69,64071.55,,,
Philadelphia,Weekly,"2025-02-23 00:00:00",Conventional,1.138677274,754911.07,323365.39,98258.35,1925.97,331361.36,,,
Philadelphia,Weekly,"2025-02-16 00:00:00",Conventional,1.102137871,856060.50,395643.78,110402.32,2676.60,347337.81,,,
Philadelphia,Weekly,"2025-02-09 00:00:00",Conventional,1.121619843,1073263.12,520951.01,184744.16,4447.70,363120.24,,,
